mgra,Male,Female,Age_LT5,Age_5to9,Age_10to14,Age_15to17,Age_18to24,Age_25to34,Age_35to44,Age_45to54,Age_55to64,Age_65to74,Age_75to84,Age_85Plus,Asian,Black,Hispanic,Other_v2,TwoorMore,White,HHSize_1,HHSize_2,HHSize_3,HHSize_4Plus,Total_HH,HHWork_0,HHWork_1,HHWork_2,HHWork_3Plus,HHChild_0,HHChild_1Plus,HHInc_0to14999,HHInc_15000to29999,HHInc_30000to59999,HHInc_60000to99999,HHInc_100000to149999,HHInc_150000to199999,HHInc_200000Plus,gq_college_pop,gq_mil_pop,gq_other_pop,Total_HH_GQ
1,194,222,14,7,21,13,29,39,39,42,65,72,70,5,147,42,123,6,29,69,45,63,36,31,175,40,57,60,18,35,140,10,22,32,53,29,11,18,0,0,0,175
2,33,33,0,0,0,0,2,5,19,2,15,11,11,1,4,3,26,1,3,29,34,12,2,0,48,7,18,16,7,5,43,5,2,7,11,6,5,12,3,0,58,109
3,266,285,51,53,51,30,32,67,62,52,55,40,38,20,6,22,126,6,8,383,38,74,41,53,205,62,71,53,19,83,122,25,34,49,43,21,10,23,0,0,0,205
4,3,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,3,1,1,1,0,3,0,0,3,0,2,1,0,0,0,0,0,0,3,0,0,0,3
5,47,38,4,3,7,5,11,2,8,11,10,16,8,0,0,0,15,0,0,70,9,13,7,5,35,7,12,10,6,12,23,0,2,1,3,7,4,18,0,0,0,35
6,32,39,2,1,8,6,5,3,9,14,8,12,3,0,2,3,19,0,0,47,8,11,6,4,29,5,9,10,5,11,18,0,2,0,2,5,4,16,0,0,0,29
7,46,78,15,13,3,0,4,16,27,7,10,6,15,8,4,0,23,7,0,90,10,16,9,12,47,7,17,16,7,17,30,3,1,3,8,11,7,14,0,0,0,47
8,40,31,2,3,5,2,3,1,7,13,8,12,12,3,1,6,5,0,0,59,10,13,5,4,32,5,12,10,5,8,24,2,1,2,3,9,5,10,0,0,0,32
9,476,523,56,76,113,64,68,91,192,195,76,37,19,12,325,3,420,15,81,155,19,52,58,142,270,66,88,87,29,171,99,4,16,16,49,62,58,65,0,0,0,270
10,386,395,48,63,49,42,62,77,151,89,97,71,19,13,534,0,13,2,16,216,13,36,47,109,206,50,65,67,24,128,78,1,6,12,20,29,22,116,0,0,0,206
