mgra,Male,Female,Age_LT5,Age_5to9,Age_10to14,Age_15to17,Age_18to24,Age_25to34,Age_35to44,Age_45to54,Age_55to64,Age_65to74,Age_75to84,Age_85Plus,Asian,Black,Hispanic,Other_v2,TwoorMore,White,HHSize_1,HHSize_2,HHSize_3,HHSize_4Plus,Total_HH,HHWork_0,HHWork_1,HHWork_2,HHWork_3Plus,HHChild_0,HHChild_1Plus,HHInc_0to14999,HHInc_15000to29999,HHInc_30000to59999,HHInc_60000to99999,HHInc_100000to149999,HHInc_150000to199999,HHInc_200000Plus,gq_college_pop,gq_mil_pop,gq_other_pop,Total_HH_GQ
1,188,218,16,9,19,17,26,23,44,36,72,71,66,7,156,45,119,1,23,62,44,63,30,31,168,45,59,47,17,137,31,14,17,55,53,17,11,1,0,0,0,168
2,15,15,0,1,0,0,2,0,6,2,7,7,5,0,3,2,9,1,4,11,9,7,3,0,19,2,7,7,3,16,3,5,0,1,2,3,2,6,0,0,57,76
3,251,273,61,49,37,21,29,60,58,57,51,35,44,22,9,13,122,5,9,366,35,71,37,50,193,48,70,54,21,104,89,24,43,52,53,12,9,0,0,0,0,193
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,55,44,2,3,7,9,10,1,9,19,8,21,7,3,0,0,17,0,0,82,10,16,7,7,40,6,14,13,7,25,15,1,0,4,8,7,6,14,0,0,0,40
6,45,34,3,2,5,4,9,7,6,11,8,20,4,0,0,0,10,0,0,69,8,11,5,8,32,5,11,11,5,20,12,0,0,0,3,10,6,13,0,0,0,32
7,48,75,13,11,1,1,9,21,25,9,10,4,13,6,0,0,25,4,0,94,10,17,8,11,46,12,16,13,5,31,15,2,0,7,7,12,6,12,0,0,0,46
8,33,37,4,4,4,5,2,0,7,14,3,12,12,3,2,7,5,0,0,56,11,12,5,3,31,5,10,11,5,23,8,3,0,0,4,6,6,12,0,0,0,31
9,499,504,63,77,116,65,73,88,185,192,82,31,18,13,338,1,422,9,79,154,20,51,61,135,267,66,89,84,28,99,168,5,16,20,26,70,52,78,0,0,0,267
10,399,389,48,61,54,46,61,87,146,97,94,62,19,13,539,0,12,1,14,222,13,35,43,114,205,49,67,65,24,78,127,0,0,12,16,42,28,107,0,0,0,205
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,46,64,0,0,0,1,0,28,16,25,0,40,0,0,0,0,1,0,0,109,19,20,8,9,56,17,22,11,6,45,11,0,0,0,15,0,15,26,0,0,0,56
13,52,55,5,1,4,0,4,12,15,19,10,21,10,6,8,0,30,1,1,67,20,21,7,3,51,29,15,7,0,49,2,3,3,6,6,9,10,14,0,0,0,51
