mgra,Male,Female,Age_LT5,Age_5to9,Age_10to14,Age_15to17,Age_18to24,Age_25to34,Age_35to44,Age_45to54,Age_55to64,Age_65to74,Age_75to84,Age_85Plus,Asian,Black,Hispanic,Other_v2,TwoorMore,White,HHSize_1,HHSize_2,HHSize_3,HHSize_4Plus,Total_HH,HHWork_0,HHWork_1,HHWork_2,HHWork_3Plus,HHChild_0,HHChild_1Plus,HHInc_0to14999,HHInc_15000to29999,HHInc_30000to59999,HHInc_60000to99999,HHInc_100000to149999,HHInc_150000to199999,HHInc_200000Plus,gq_college_pop,gq_mil_pop,gq_other_pop,Total_HH_GQ
1,181,198,13,6,21,10,29,19,32,38,53,62,84,12,152,47,109,1,25,45,44,63,29,31,167,60,68,32,7,147,20,15,17,53,51,18,10,3,0,0,0,167
2,10,11,0,1,0,0,1,0,4,4,4,4,3,0,5,0,7,2,1,6,11,4,0,0,15,2,7,4,2,13,2,4,0,1,2,3,1,4,0,0,54,69
3,236,273,55,42,35,21,27,53,52,64,50,31,44,35,19,14,136,2,13,325,36,71,39,52,198,47,66,62,23,106,92,30,44,53,50,12,9,0,0,0,0,198
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,50,42,2,1,9,6,11,1,14,15,5,13,11,4,0,0,19,0,1,72,12,14,7,7,40,6,14,13,7,24,16,3,0,4,6,7,6,14,0,0,0,40
6,44,28,5,3,4,4,6,9,7,10,10,12,2,0,2,0,11,0,0,59,6,12,7,7,32,5,11,11,5,19,13,0,0,0,3,9,4,16,0,0,0,32
7,45,71,10,12,0,1,11,19,27,5,6,2,10,13,1,0,27,4,0,84,10,16,8,12,46,18,17,11,0,37,9,5,0,9,8,8,5,11,0,0,0,46
8,34,31,1,5,2,1,0,0,9,8,8,14,12,5,2,7,4,0,0,52,9,13,4,5,31,5,10,11,5,21,10,6,0,0,4,6,6,9,0,0,0,31
9,458,478,45,71,100,58,58,76,175,180,88,37,22,26,338,0,371,9,79,139,19,55,42,151,267,87,101,62,17,152,115,0,13,12,23,73,58,88,0,0,0,267
10,371,360,49,52,52,43,51,72,130,96,90,56,22,18,522,1,7,1,16,184,13,36,39,115,203,49,66,64,24,80,123,0,0,10,17,42,28,106,0,0,0,203
