HHID,PUMA,NP,HHADJINC,ADJINC,WGTP,HHT,GQ_type,child_present,WIF,HUPAC,VEH,numWorkers,BLD
1,7306,1,0.0,1093093,9,,3,0,,,,0.0,
2,7319,1,0.0,1093093,6,,3,0,,,,0.0,
3,7310,1,1292.3999999999999,1093093,13,,2,0,,,,0.0,
4,7301,1,12924.0,1093093,6,,1,0,,,,1.0,
5,7313,1,11847.0,1093093,13,,3,0,,,,0.0,
6,7304,1,12924.0,1093093,2,,3,0,,,,0.0,
7,7322,1,30156.0,1093093,3,,2,0,,,,0.0,
8,7301,1,969.3,1093093,21,,1,0,,,,1.0,
9,7317,1,3984.8999999999996,1093093,12,,2,0,,,,0.0,
10,7322,1,0.0,1093093,5,,3,0,,,,0.0,
11,7321,1,0.0,1093093,2,,3,0,,,,0.0,
12,7322,1,0.0,1093093,1,,3,0,,,,0.0,
13,7301,1,26925.0,1093093,10,,1,0,,,,1.0,
14,7310,1,25848.0,1093093,69,,1,0,,,,1.0,
15,7316,1,0.0,1093093,14,,3,0,,,,0.0,
16,7301,1,19386.0,1093093,8,,1,0,,,,1.0,
17,7314,1,0.0,1093093,1,,3,0,,,,0.0,
18,7310,1,19386.0,1093093,2,,3,0,,,,1.0,
19,7317,1,21540.0,1093093,5,,3,0,,,,1.0,
20,7306,1,5815.8,1093093,2,,3,0,,,,0.0,
21,7317,1,3984.8999999999996,1093093,16,,2,0,,,,0.0,
22,7304,1,0.0,1093093,3,,3,0,,,,0.0,
23,7302,1,5385.0,1093093,3,,3,0,,,,0.0,
24,7308,1,0.0,1093093,1,,3,0,,,,0.0,
25,7301,1,25848.0,1093093,18,,1,0,,,,1.0,
26,7317,1,17232.0,1093093,14,,2,0,,,,0.0,
27,7310,1,1938.6,1093093,9,,2,0,,,,1.0,
28,7317,1,3984.8999999999996,1093093,9,,2,0,,,,0.0,
29,7301,1,24771.0,1093093,12,,1,0,,,,1.0,
30,7302,1,0.0,1093093,3,,3,0,,,,0.0,
31,7303,1,,1093093,6,,3,0,,,,0.0,
32,7301,1,25848.0,1093093,11,,1,0,,,,1.0,
33,7302,1,0.0,1093093,2,,3,0,,,,0.0,
34,7312,1,19386.0,1093093,18,,1,0,,,,1.0,
35,7322,1,0.0,1093093,5,,3,0,,,,0.0,
36,7317,1,0.0,1093093,3,,3,0,,,,0.0,
37,7316,1,0.0,1093093,15,,3,0,,,,0.0,
38,7320,1,0.0,1093093,2,,3,0,,,,0.0,
39,7302,1,1615.5,1093093,2,,3,0,,,,0.0,
40,7313,1,1615.5,1093093,13,,3,0,,,,0.0,
41,7306,1,8831.4,1093093,1,,3,0,,,,0.0,
42,7310,1,3554.1,1093093,10,,2,0,,,,0.0,
43,7310,1,0.0,1093093,18,,2,0,,,,0.0,
44,7321,1,8185.2,1093093,3,,2,0,,,,0.0,
45,7307,1,0.0,1093093,12,,3,0,,,,0.0,
46,7307,1,538.5,1093093,3,,3,0,,,,0.0,
47,7304,1,17232.0,1093093,13,,3,0,,,,0.0,
48,7319,1,0.0,1093093,1,,3,0,,,,0.0,
49,7315,1,2154.0,1093093,17,,2,0,,,,0.0,
50,7302,1,0.0,1093093,15,,3,0,,,,0.0,
51,7317,1,2692.5,1093093,8,,2,0,,,,0.0,
52,7308,1,13354.8,1093093,16,,3,0,,,,0.0,
53,7301,1,19386.0,1093093,17,,1,0,,,,1.0,
