HHID,PUMA,NP,HHADJINC,ADJINC,WGTP,HHT,child_present,WIF,HUPAC,VEH,numWorkers,BLD
1,7307,2,115239.0,1117630,14,1.0,0,2.0,4.0,2.0,2.0,2.0
2,7301,3,157575.87,1117630,25,1.0,0,3.0,4.0,3.0,3.0,2.0
3,7311,3,43080.0,1117630,26,1.0,1,1.0,1.0,2.0,1.0,2.0
4,7318,2,52665.299999999996,1117630,26,2.0,0,0.0,4.0,2.0,0.0,2.0
5,7302,2,39849.0,1117630,13,5.0,0,,4.0,2.0,2.0,2.0
6,7313,4,435108.0,1117630,8,1.0,0,3.0,4.0,3.0,4.0,2.0
7,7314,1,53850.0,1117630,21,4.0,0,,4.0,1.0,0.0,2.0
8,7301,1,64620.0,1117630,16,6.0,0,,4.0,1.0,1.0,2.0
9,7318,1,11847.0,1117630,7,6.0,0,,4.0,1.0,0.0,6.0
10,7310,1,183090.0,1117630,22,4.0,0,,4.0,1.0,1.0,6.0
11,7317,1,48917.34,1117630,13,4.0,0,,4.0,1.0,1.0,2.0
12,7322,2,53850.0,1117630,16,5.0,0,,4.0,1.0,2.0,5.0
13,7311,5,118470.0,1117630,15,1.0,1,1.0,3.0,2.0,1.0,2.0
14,7309,3,141087.0,1117630,19,1.0,1,2.0,1.0,2.0,2.0,3.0
15,7306,4,150780.0,1117630,7,1.0,1,2.0,2.0,3.0,2.0,2.0
16,7317,2,313407.0,1117630,13,1.0,0,2.0,4.0,2.0,2.0,2.0
17,7310,4,99665.58,1117630,16,1.0,1,1.0,2.0,2.0,0.0,5.0
18,7321,1,52342.2,1117630,12,6.0,0,,4.0,2.0,1.0,6.0
19,7301,1,27678.899999999998,1117630,14,4.0,0,,4.0,1.0,0.0,2.0
20,7312,1,99622.5,1117630,11,6.0,0,,4.0,1.0,0.0,2.0
21,7306,1,25848.0,1117630,13,6.0,0,,4.0,1.0,0.0,2.0
22,7313,3,222831.3,1117630,7,1.0,1,2.0,1.0,2.0,2.0,2.0
23,7308,4,166288.8,1117630,14,1.0,1,3.0,2.0,3.0,3.0,2.0
24,7307,2,53850.0,1117630,24,1.0,0,1.0,4.0,2.0,1.0,2.0
25,7309,2,53850.0,1117630,70,5.0,0,,4.0,2.0,2.0,6.0
26,7317,1,0.0,1117630,25,4.0,0,,4.0,1.0,0.0,5.0
27,7302,1,32310.0,1117630,28,6.0,0,,4.0,1.0,1.0,2.0
28,7304,2,136132.8,1117630,14,5.0,0,,4.0,2.0,1.0,8.0
29,7320,4,196014.0,1117630,63,1.0,1,2.0,2.0,2.0,2.0,2.0
30,7322,4,49800.479999999996,1117630,14,1.0,0,3.0,4.0,4.0,3.0,1.0
31,7312,3,194613.9,1117630,6,1.0,0,3.0,4.0,3.0,3.0,3.0
32,7311,3,138394.5,1117630,21,1.0,1,3.0,2.0,3.0,2.0,2.0
33,7313,2,154118.69999999998,1117630,10,1.0,0,0.0,4.0,5.0,0.0,2.0
34,7318,4,323100.0,1117630,31,1.0,0,3.0,4.0,6.0,4.0,2.0
35,7308,4,232308.9,1117630,12,1.0,1,2.0,1.0,2.0,2.0,2.0
36,7309,2,80775.0,1117630,20,1.0,0,0.0,4.0,2.0,0.0,3.0
37,7305,2,106623.0,1117630,13,1.0,0,2.0,4.0,3.0,2.0,1.0
38,7320,6,207645.6,1117630,26,3.0,0,3.0,4.0,4.0,3.0,3.0
39,7315,4,257403.0,1117630,18,1.0,1,2.0,1.0,3.0,2.0,2.0
40,7310,2,188475.0,1117630,19,1.0,0,2.0,4.0,4.0,2.0,2.0
41,7308,2,4846.5,1117630,45,3.0,0,1.0,4.0,1.0,1.0,5.0
42,7305,3,37695.0,1117630,37,1.0,0,1.0,4.0,3.0,1.0,2.0
43,7321,3,150780.0,1117630,16,1.0,1,1.0,2.0,3.0,1.0,2.0
44,7301,4,121701.0,1117630,18,1.0,1,2.0,1.0,2.0,2.0,2.0
45,7315,2,108346.2,1117630,12,1.0,0,2.0,4.0,4.0,2.0,2.0
46,7310,1,116639.09999999999,1117630,36,6.0,0,,4.0,0.0,1.0,7.0
47,7301,1,32310.0,1117630,43,6.0,0,,4.0,1.0,1.0,7.0
48,7317,6,329777.39999999997,1117630,14,1.0,0,2.0,4.0,2.0,2.0,2.0
49,7322,4,36618.0,1117630,16,1.0,1,2.0,2.0,2.0,2.0,6.0
50,7303,6,50080.5,1117630,14,1.0,1,3.0,1.0,5.0,4.0,2.0
51,7307,2,89929.5,1117630,33,1.0,0,1.0,4.0,2.0,1.0,2.0
52,7304,1,0.0,1117630,43,4.0,0,,4.0,1.0,0.0,2.0
53,7314,6,29886.75,1117630,43,3.0,1,1.0,3.0,1.0,1.0,6.0
54,7321,1,72159.0,1117630,11,4.0,0,,4.0,1.0,1.0,9.0
55,7320,2,84975.3,1117630,10,1.0,0,2.0,4.0,2.0,0.0,2.0
