PUMA,mgra,HHID
7301,57,8571
7301,57,11538
7301,57,13950
7301,57,14246
7301,57,15315
7301,57,19934
7301,57,20057
7301,57,22901
7301,57,24407
7301,57,24407
7301,57,29744
7301,57,31072
7301,57,31072
7301,57,51198
7301,100,359
7301,100,359
7301,100,359
7301,100,359
7301,100,847
7301,100,2916
7301,100,2916
7301,100,2916
7301,100,2916
7301,100,2916
7301,100,3392
7301,100,9515
7301,100,10370
7301,100,10370
7301,100,10370
7301,100,10370
7301,100,10370
7301,100,10370
7301,100,10370
7301,100,10370
7301,100,10596
7301,100,12302
7301,100,12302
7301,100,12302
7301,100,12302
7301,100,12302
7301,100,12302
7301,100,12302
7301,100,12302
7301,100,12302
7301,100,12302
7301,100,12302
7301,100,12302
7301,100,12302
7301,100,13950
7301,100,13950
7301,100,13950
7301,100,13950
7301,100,13950
7301,100,13950
7301,100,13950
7301,100,13950
7301,100,13950
7301,100,13950
7301,100,13950
7301,100,15214
7301,100,15214
7301,100,15214
7301,100,15214
7301,100,17878
7301,100,17878
7301,100,29146
7301,100,31072
7301,100,31072
7301,100,31072
7301,100,31072
7301,100,31072
7301,100,31072
7301,100,31072
7301,100,31072
7301,100,31072
7301,100,31072
7301,100,31072
7301,100,37382
7301,100,37382
7301,100,37382
7301,100,37382
7301,100,37382
7301,100,39342
7301,100,39342
7301,100,39342
7301,100,39342
7301,100,39342
7301,100,39342
7301,100,39342
7301,100,40250
7301,100,40250
7301,100,40250
7301,100,40250
7301,100,42314
7301,100,42314
7301,100,42314
7301,100,42314
7301,100,42314
7301,100,42314
7301,100,42314
7301,100,42314
7301,100,42314
7301,100,42381
7301,100,42381
7301,100,43272
7301,100,43272
7301,100,46141
7301,100,49129
7301,100,49194
7301,100,49194
7301,100,49194
7301,100,49974
7301,100,49974
7301,100,49974
7301,100,49974
7301,100,50313
7301,165,686
7301,165,713
7301,165,10370
7301,165,14246
7301,165,14246
7301,165,24948
7301,165,26174
7301,165,30373
7301,165,31072
7301,165,42054
7301,165,42951
7301,165,46872
7301,165,49403
7301,218,2916
7301,218,3605
7301,218,7645
7301,218,8540
7301,218,8540
7301,218,8540
7301,218,10746
7301,218,10948
7301,218,11047
7301,218,11749
7301,218,12274
7301,218,14558
7301,218,16575
7301,218,18924
7301,218,18924
7301,218,20901
7301,218,23149
7301,218,29871
7301,218,29871
7301,218,30884
7301,218,31072
7301,218,33997
7301,218,34665
7301,218,37382
7301,218,37382
7301,218,39197
7301,218,41659
7301,218,45803
7301,218,45803
7301,218,46731
7301,218,47330
7301,218,48717
7301,218,48717
7301,218,49697
7301,218,49697
7301,218,51733
7301,245,220
7301,245,4360
7301,245,9515
7301,245,9696
7301,245,12147
7301,245,12302
7301,245,12302
7301,245,12302
7301,245,12302
7301,245,12302
7301,245,12302
7301,245,12302
7301,245,16780
7301,245,16780
7301,245,18611
7301,245,18924
7301,245,18924
7301,245,18924
7301,245,22901
7301,245,24186
7301,245,30508
7301,245,30508
7301,245,31072
7301,245,31072
7301,245,31072
7301,245,31072
7301,245,31072
7301,245,31072
7301,245,31072
7301,245,35948
7301,245,35948
7301,245,36185
7301,245,37600
7301,245,39067
7301,245,39067
7301,245,39067
7301,245,39745
7301,245,40250
7301,245,42314
7301,245,42314
7301,245,42314
7301,245,42314
7301,245,42314
7301,245,42314
7301,245,42314
7301,245,42314
7301,245,42314
7301,245,42314
7301,245,42314
7301,245,42314
7301,245,42314
7301,245,42314
7301,245,43771
7301,245,43771
7301,245,43771
7301,245,49419
7301,245,49419
7301,251,713
7301,251,10370
7301,251,24407
7301,251,26174
7301,251,29146
7301,293,2922
7301,293,5417
7301,293,7758
7301,293,7758
7301,293,8571
7301,293,8571
7301,293,12302
7301,293,12302
7301,293,12302
7301,293,12302
7301,293,12815
7301,293,12975
7301,293,13816
7301,293,14443
7301,293,15850
7301,293,24450
7301,293,26331
7301,293,31046
7301,293,33505
7301,293,33997
7301,293,35235
7301,293,40419
7301,293,41690
7301,293,41690
7301,293,43242
7301,293,43242
7301,293,43242
7301,293,50322
7301,293,51747
7301,293,51747
7301,305,5380
7301,305,5417
7301,305,8571
7301,305,12302
7301,305,13816
7301,305,21781
7301,305,22362
7301,305,25766
7301,305,31046
7301,305,31046
7301,305,31072
7301,305,31072
7301,305,36339
7301,305,38526
7301,305,39903
7301,305,40390
7301,305,43272
7301,305,45715
7301,305,46656
7301,322,220
7301,322,359
7301,322,580
7301,322,713
7301,322,2817
7301,322,2916
7301,322,8108
7301,322,10370
7301,322,10893
7301,322,11659
7301,322,12302
7301,322,12302
7301,322,12302
7301,322,13950
7301,322,13950
7301,322,14246
7301,322,18624
7301,322,26951
7301,322,29744
7301,322,29744
7301,322,29744
7301,322,31072
7301,322,31072
7301,322,31072
7301,322,31072
7301,322,31072
7301,322,33539
7301,322,33539
7301,322,33539
7301,322,38179
7301,322,38526
7301,322,40250
7301,322,40575
7301,322,40744
7301,322,41047
7301,322,47522
7301,322,49489
7301,322,50313
7301,332,9515
7301,332,9515
7301,332,9515
7301,332,12363
7301,332,16150
7301,332,16150
7301,332,20805
7301,332,38526
7301,332,41690
7301,332,43199
7301,332,43199
7301,332,43199
7301,332,43376
7301,332,45654
7301,332,46123
7301,332,46872
7301,332,46872
7301,332,46872
7301,332,49356
7301,332,49356
7301,359,7758
7301,359,7758
7301,359,8538
7301,359,12302
7301,359,13635
7301,359,14708
7301,359,14708
7301,359,14708
7301,359,14708
7301,359,15470
7301,359,19637
7301,359,20775
7301,359,23745
7301,359,40804
7301,359,43272
7301,359,45013
7301,359,50768
7301,409,1683
7301,409,4829
7301,409,7758
7301,409,8721
7301,409,9958
7301,409,18624
7301,409,32198
7301,409,35235
7301,409,49697
7301,468,10893
7301,468,10893
7301,468,10893
7301,468,12302
7301,468,12302
7301,468,13950
7301,468,13950
7301,468,14674
7301,468,14991
7301,468,22104
7301,468,24425
7301,468,25646
7301,468,27824
7301,468,31046
7301,468,31046
7301,468,31072
7301,468,31072
7301,468,31072
7301,468,31072
7301,468,31072
7301,468,32577
7301,468,37550
7301,468,38526
7301,468,38928
7301,468,40744
7301,468,40744
7301,468,41047
7301,468,43272
7301,468,43771
7301,469,1140
7301,469,12128
7301,469,14708
7301,469,19096
7301,469,29103
7301,469,30356
7301,469,30370
7301,469,30373
7301,469,31046
7301,469,42296
7301,469,42296
7301,565,359
7301,565,977
7301,565,1129
7301,565,1129
7301,565,3252
7301,565,3252
7301,565,5380
7301,565,5417
7301,565,5417
7301,565,5417
7301,565,5417
7301,565,7583
7301,565,8538
7301,565,8538
7301,565,8538
7301,565,8538
7301,565,8538
7301,565,9515
7301,565,9515
7301,565,12302
7301,565,14991
7301,565,14991
7301,565,14991
7301,565,16783
7301,565,20775
7301,565,25393
7301,565,29756
7301,565,29756
7301,565,29756
7301,565,31046
7301,565,31046
7301,565,31046
7301,565,35591
7301,565,37941
7301,565,38894
7301,565,39302
7301,565,39377
7301,565,40390
7301,565,42397
7301,565,43272
7301,565,45975
7301,565,46656
7301,565,47416
7301,565,47653
7301,599,914
7301,599,1427
7301,599,3788
7301,599,5380
7301,599,5380
7301,599,7583
7301,599,8538
7301,599,8571
7301,599,9515
7301,599,9515
7301,599,9515
7301,599,9515
7301,599,9515
7301,599,9515
7301,599,9515
7301,599,9515
7301,599,10720
7301,599,12302
7301,599,12302
7301,599,12302
7301,599,14991
7301,599,18025
7301,599,19307
7301,599,21721
7301,599,25435
7301,599,31046
7301,599,31072
7301,599,31964
7301,599,35591
7301,599,35682
7301,599,37744
7301,599,39741
7301,599,40250
7301,599,40250
7301,599,40250
7301,599,43272
7301,599,43272
7301,599,45308
7301,599,45715
7301,599,45715
7301,599,46123
7301,599,47416
7301,599,47522
7301,599,49188
7301,599,50313
7301,599,50313
7301,599,51274
7301,611,359
7301,611,678
7301,611,2916
7301,611,3392
7301,611,3392
7301,611,8439
7301,611,8540
7301,611,10746
7301,611,10746
7301,611,13733
7301,611,16575
7301,611,16575
7301,611,16575
7301,611,16575
7301,611,16575
7301,611,16575
7301,611,16575
7301,611,21949
7301,611,24908
7301,611,26248
7301,611,26248
7301,611,26933
7301,611,26933
7301,611,30098
7301,611,30098
7301,611,30098
7301,611,30098
7301,611,30884
7301,611,31072
7301,611,31072
7301,611,31072
7301,611,31072
7301,611,31680
7301,611,32735
7301,611,32735
7301,611,35249
7301,611,35596
7301,611,35596
7301,611,35596
7301,611,37019
7301,611,37019
7301,611,37233
7301,611,37382
7301,611,37382
7301,611,37382
7301,611,37382
7301,611,37382
7301,611,37382
7301,611,37382
7301,611,37382
7301,611,37382
7301,611,47794
7301,611,48717
7301,611,48717
7301,611,48717
7301,611,48717
7301,611,48717
7301,611,48748
7301,611,48748
7301,611,48748
7301,611,48748
7301,611,48748
7301,611,48748
7301,611,48748
7301,611,49181
7301,611,49181
7301,611,49181
7301,611,50413
7301,611,50413
7301,611,50413
7301,611,51297
7301,611,51297
7301,611,51297
7301,611,51297
7301,614,3788
7301,614,5417
7301,614,5417
7301,614,10843
7301,614,12397
7301,614,12504
7301,614,16575
7301,614,16936
7301,614,24364
7301,614,25636
7301,614,29503
7301,614,29962
7301,614,30030
7301,614,35037
7301,614,40176
7301,614,43059
7301,614,46123
7301,614,46731
7301,614,46731
7301,614,46731
7301,614,46872
7301,614,46872
7301,614,49129
7301,614,51727
7301,629,2860
7301,629,3605
7301,629,7306
7301,629,7306
7301,629,8540
7301,629,8540
7301,629,8540
7301,629,10746
7301,629,10746
7301,629,10746
7301,629,11749
7301,629,11749
7301,629,12302
7301,629,14482
7301,629,16435
7301,629,16435
7301,629,16575
7301,629,17244
7301,629,18924
7301,629,18924
7301,629,21781
7301,629,29871
7301,629,35528
7301,629,37382
7301,629,37382
7301,629,37382
7301,629,39885
7301,629,39885
7301,629,39948
7301,629,41778
7301,629,43242
7301,629,43242
7301,629,45803
7301,629,46123
7301,629,46731
7301,629,47750
7301,629,48007
7301,629,48717
7301,629,48717
7301,629,48717
7301,629,49181
7301,629,49181
7301,629,51297
7301,629,51297
7301,638,5022
7301,638,9028
7301,638,11089
7301,638,13530
7301,638,13807
7301,638,14639
7301,638,14639
7301,638,14708
7301,638,14708
7301,638,18595
7301,638,18595
7301,638,18640
7301,638,18640
7301,638,20057
7301,638,20057
7301,638,20057
7301,638,21193
7301,638,23105
7301,638,23341
7301,638,23745
7301,638,24128
7301,638,24128
7301,638,24128
7301,638,24529
7301,638,26772
7301,638,26772
7301,638,26772
7301,638,26772
7301,638,29856
7301,638,29856
7301,638,31072
7301,638,31072
7301,638,36339
7301,638,36339
7301,638,37634
7301,638,38233
7301,638,38233
7301,638,44997
7301,638,50768
7301,638,50768
7301,638,50768
7301,644,1077
7301,644,1427
7301,644,3303
7301,644,5417
7301,644,9515
7301,644,13908
7301,644,15250
7301,644,15779
7301,644,16446
7301,644,16446
7301,644,19637
7301,644,19934
7301,644,22544
7301,644,25522
7301,644,25766
7301,644,25863
7301,644,28269
7301,644,29744
7301,644,29823
7301,644,31046
7301,644,31046
7301,644,35103
7301,644,35103
7301,644,38869
7301,644,43771
7301,644,43771
7301,644,45710
7301,644,49489
7301,736,514
7301,736,4371
7301,736,11856
7301,736,12551
7301,821,1677
7301,821,1677
7301,821,1677
7301,821,5022
7301,821,7758
7301,821,9242
7301,821,9515
7301,821,9515
7301,821,11538
7301,821,11538
7301,821,13635
7301,821,13635
7301,821,13950
7301,821,13950
7301,821,13950
7301,821,14633
7301,821,14708
7301,821,14708
7301,821,19637
7301,821,19637
7301,821,19637
7301,821,20057
7301,821,20775
7301,821,20805
7301,821,20805
7301,821,20805
7301,821,23919
7301,821,23919
7301,821,24155
7301,821,25919
7301,821,26772
7301,821,26772
7301,821,26772
7301,821,29110
7301,821,29756
7301,821,29856
7301,821,29856
7301,821,36557
7301,821,36557
7301,821,36557
7301,821,41976
7301,821,44997
7301,821,44997
7301,821,46141
7301,821,48675
7301,821,49129
7301,821,49129
7301,821,49129
7301,821,50683
7301,822,1541
7301,822,2775
7301,822,8542
7301,822,12815
7301,822,12815
7301,822,14443
7301,822,14639
7301,822,15250
7301,822,16498
7301,822,18508
7301,822,19637
7301,822,19637
7301,822,23105
7301,822,23105
7301,822,26725
7301,822,26725
7301,822,26725
7301,822,32637
7301,822,38526
7301,822,39377
7301,822,42791
7301,822,44270
7301,822,46909
7301,822,50768
7301,822,50768
7301,836,5417
7301,836,5417
7301,836,12302
7301,836,12815
7301,836,20451
7301,836,20451
7301,836,20451
7301,836,20451
7301,836,20451
7301,836,32198
7301,836,32198
