process,pid,rss,full_rss,uss,event,children,time
MainProcess,11636,91_926_528,91_926_528,64_561_152,run_multiprocess.start,0,2023/12/28 16:47:20.136584
MainProcess,11636,92_454_912,92_454_912,64_745_472,allocate_shared_skim_buffer.before,0,2023/12/28 16:47:20.149576
MainProcess,11636,92_520_448,92_520_448,64_745_472,allocate_shared_skim_buffer.completed,0,2023/12/28 16:47:20.164568
MainProcess,11636,92_524_544,92_524_544,64_749_568,allocate_shared_shadow_pricing_buffers.completed,0,2023/12/28 16:47:20.178560
MainProcess,11636,92_676_096,172_085_248,64_839_680,mp_seed_balancing.start,1,2023/12/28 16:47:21.225069
MainProcess,11636,92_749_824,275_357_696,64_843_776,mp_seed_balancing.input_pre_processor.completed,1,2023/12/28 16:47:23.263669
MainProcess,11636,92_749_824,269_766_656,64_843_776,mp_seed_balancing.setup_data_structures.completed,1,2023/12/28 16:47:24.289230
MainProcess,11636,92_753_920,271_769_600,64_847_872,run_sub_simulations.idle,1,2023/12/28 16:47:39.408876
MainProcess,11636,92_798_976,273_502_208,64_888_832,run_sub_simulations.idle,1,2023/12/28 16:47:54.592470
MainProcess,11636,92_803_072,273_530_880,64_892_928,run_sub_simulations.idle,1,2023/12/28 16:48:09.719408
MainProcess,11636,92_741_632,273_432_576,64_831_488,run_sub_simulations.idle,1,2023/12/28 16:48:24.877906
MainProcess,11636,92_741_632,273_854_464,64_831_488,run_sub_simulations.idle,1,2023/12/28 16:48:40.032770
MainProcess,11636,92_745_728,273_858_560,64_835_584,run_sub_simulations.idle,1,2023/12/28 16:48:55.152945
MainProcess,11636,92_745_728,273_858_560,64_835_584,run_sub_simulations.idle,1,2023/12/28 16:49:10.293957
MainProcess,11636,92_745_728,273_858_560,64_835_584,run_sub_simulations.idle,1,2023/12/28 16:49:25.438151
MainProcess,11636,92_745_728,273_862_656,64_835_584,run_sub_simulations.idle,1,2023/12/28 16:49:40.532573
MainProcess,11636,92_745_728,271_613_952,64_835_584,mp_seed_balancing.initial_seed_balancing.completed,1,2023/12/28 16:49:49.640640
MainProcess,11636,92_745_728,271_613_952,64_835_584,mp_seed_balancing.meta_control_factoring.completed,1,2023/12/28 16:49:49.653633
MainProcess,11636,92_745_728,273_702_912,64_835_584,run_sub_simulations.idle,1,2023/12/28 16:50:04.777062
MainProcess,11636,92_745_728,273_764_352,64_835_584,run_sub_simulations.idle,1,2023/12/28 16:50:19.901934
MainProcess,11636,92_745_728,274_436_096,64_835_584,run_sub_simulations.idle,1,2023/12/28 16:50:35.028006
MainProcess,11636,92_745_728,275_513_344,64_835_584,run_sub_simulations.idle,1,2023/12/28 16:50:50.150505
MainProcess,11636,92_745_728,275_947_520,64_835_584,run_sub_simulations.idle,1,2023/12/28 16:51:05.253021
MainProcess,11636,92_745_728,275_947_520,64_835_584,run_sub_simulations.idle,1,2023/12/28 16:51:20.408703
MainProcess,11636,92_745_728,276_766_720,64_835_584,run_sub_simulations.idle,1,2023/12/28 16:51:35.576372
MainProcess,11636,92_745_728,276_832_256,64_835_584,run_sub_simulations.idle,1,2023/12/28 16:51:50.709966
MainProcess,11636,92_745_728,276_877_312,64_835_584,run_sub_simulations.idle,1,2023/12/28 16:52:05.850451
MainProcess,11636,92_753_920,276_910_080,64_835_584,run_sub_simulations.idle,1,2023/12/28 16:52:20.946909
MainProcess,11636,92_753_920,276_971_520,64_835_584,run_sub_simulations.idle,1,2023/12/28 16:52:36.106784
MainProcess,11636,92_753_920,277_012_480,64_835_584,run_sub_simulations.idle,1,2023/12/28 16:52:51.245534
MainProcess,11636,92_753_920,277_024_768,64_835_584,run_sub_simulations.idle,1,2023/12/28 16:53:06.356732
MainProcess,11636,92_753_920,281_432_064,64_835_584,mp_seed_balancing.final_seed_balancing.completed,1,2023/12/28 16:53:20.482171
MainProcess,11636,92_753_920,92_753_920,64_835_584,mp_seed_balancing.integerize_final_seed_weights.completed,0,2023/12/28 16:53:29.545480
MainProcess,11636,92_753_920,92_753_920,64_835_584,mp_seed_balancing.completed,0,2023/12/28 16:53:29.558473
MainProcess,11636,92_753_920,92_753_920,64_835_584,mp_sub_balancing_mgra_apportion.start,0,2023/12/28 16:53:29.572464
MainProcess,11636,92_753_920,92_753_920,64_835_584,run_model mp_sub_balancing_mgra_apportion completed,0,2023/12/28 16:53:34.643680
MainProcess,11636,92_753_920,167_641_088,64_835_584,mp_sub_balancing_mgra_0.start,1,2023/12/28 16:53:35.716258
MainProcess,11636,92_753_920,288_399_360,64_835_584,mp_sub_balancing_mgra_1.start,2,2023/12/28 16:53:36.770284
MainProcess,11636,92_753_920,467_550_208,64_835_584,mp_sub_balancing_mgra_2.start,3,2023/12/28 16:53:37.793941
MainProcess,11636,92_753_920,571_953_152,64_835_584,mp_sub_balancing_mgra_3.start,4,2023/12/28 16:53:38.833179
MainProcess,11636,92_753_920,748_822_528,64_835_584,mp_sub_balancing_mgra_4.start,5,2023/12/28 16:53:39.885443
MainProcess,11636,92_753_920,980_393_984,64_835_584,mp_sub_balancing_mgra_5.start,6,2023/12/28 16:53:40.933853
MainProcess,11636,92_753_920,1_179_635_712,64_835_584,mp_sub_balancing_mgra_6.start,7,2023/12/28 16:53:41.962463
MainProcess,11636,92_753_920,1_365_413_888,64_835_584,mp_sub_balancing_mgra_7.start,8,2023/12/28 16:53:42.992563
MainProcess,11636,92_753_920,2_057_867_264,64_835_584,run_sub_simulations.idle,8,2023/12/28 16:53:58.289080
MainProcess,11636,92_753_920,2_067_279_872,64_835_584,run_sub_simulations.idle,8,2023/12/28 16:54:13.808212
MainProcess,11636,92_753_920,2_075_287_552,64_835_584,run_sub_simulations.idle,8,2023/12/28 16:54:29.450151
MainProcess,11636,92_753_920,2_145_611_776,64_835_584,run_sub_simulations.idle,8,2023/12/28 16:54:44.854171
MainProcess,11636,92_762_112,2_145_632_256,64_843_776,run_sub_simulations.idle,8,2023/12/28 16:55:00.342747
MainProcess,11636,92_762_112,2_145_632_256,64_843_776,run_sub_simulations.idle,8,2023/12/28 16:55:15.879781
MainProcess,11636,92_762_112,2_145_632_256,64_843_776,run_sub_simulations.idle,8,2023/12/28 16:55:31.396276
MainProcess,11636,92_762_112,2_145_632_256,64_843_776,run_sub_simulations.idle,8,2023/12/28 16:55:47.013502
MainProcess,11636,92_762_112,2_145_632_256,64_843_776,run_sub_simulations.idle,8,2023/12/28 16:56:02.741528
MainProcess,11636,92_762_112,2_145_632_256,64_843_776,run_sub_simulations.idle,8,2023/12/28 16:56:18.211961
MainProcess,11636,92_762_112,2_145_632_256,64_843_776,run_sub_simulations.idle,8,2023/12/28 16:56:33.749258
MainProcess,11636,92_762_112,2_145_632_256,64_843_776,run_sub_simulations.idle,8,2023/12/28 16:56:49.140099
MainProcess,11636,92_762_112,2_145_632_256,64_843_776,run_sub_simulations.idle,8,2023/12/28 16:57:04.549151
MainProcess,11636,92_762_112,2_158_854_144,64_843_776,run_sub_simulations.idle,8,2023/12/28 16:57:19.948765
MainProcess,11636,92_762_112,2_145_632_256,64_843_776,run_sub_simulations.idle,8,2023/12/28 16:57:35.365271
MainProcess,11636,92_762_112,2_145_632_256,64_843_776,run_sub_simulations.idle,8,2023/12/28 16:57:50.851285
MainProcess,11636,92_762_112,2_145_632_256,64_843_776,run_sub_simulations.idle,8,2023/12/28 16:58:06.341332
MainProcess,11636,92_762_112,2_145_632_256,64_843_776,run_sub_simulations.idle,8,2023/12/28 16:58:21.873263
MainProcess,11636,92_762_112,2_145_665_024,64_843_776,run_sub_simulations.idle,8,2023/12/28 16:58:37.411583
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 16:58:53.003667
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 16:59:08.591105
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 16:59:24.113075
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 16:59:39.659820
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 16:59:55.485761
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 17:00:11.206707
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 17:00:27.124485
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 17:00:42.758354
MainProcess,11636,92_762_112,2_152_726_528,64_843_776,run_sub_simulations.idle,8,2023/12/28 17:00:58.312338
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 17:01:13.730695
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 17:01:29.113732
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 17:01:44.610599
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 17:02:00.138660
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 17:02:15.699045
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 17:02:31.442940
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 17:02:47.217173
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 17:03:02.875944
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 17:03:18.476421
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 17:03:34.307525
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 17:03:49.349812
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 17:04:05.058636
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 17:04:20.959299
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 17:04:36.618305
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 17:04:52.348359
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 17:05:07.897973
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 17:05:23.503909
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 17:05:39.065067
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 17:05:54.619706
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 17:06:10.262096
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 17:06:26.052108
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 17:06:41.684182
MainProcess,11636,92_762_112,2_145_722_368,64_843_776,run_sub_simulations.idle,8,2023/12/28 17:06:57.104884
MainProcess,11636,92_753_920,2_145_714_176,64_827_392,run_sub_simulations.idle,8,2023/12/28 17:07:12.569657
MainProcess,11636,92_753_920,2_145_714_176,64_827_392,run_sub_simulations.idle,8,2023/12/28 17:07:27.923462
MainProcess,11636,92_753_920,2_145_714_176,64_827_392,run_sub_simulations.idle,8,2023/12/28 17:07:43.277852
