process,pid,rss,full_rss,uss,event,children,time
mp_seed_balancing,20468,90_394_624,90_394_624,62_124_032,pipeline.run_model input_pre_processor start,0,2023/12/28 16:47:21.644388
mp_seed_balancing,20468,128_999_424,128_999_424,100_249_600,pipeline.run_model input_pre_processor finished,0,2023/12/28 16:47:22.113185
mp_seed_balancing,20468,134_152_192,134_152_192,106_074_112,pipeline.run_model setup_data_structures start,0,2023/12/28 16:47:22.282092
mp_seed_balancing,20468,158_842_880,158_842_880,130_330_624,pipeline.run_model setup_data_structures finished,0,2023/12/28 16:47:23.812921
mp_seed_balancing,20468,163_667_968,163_667_968,134_721_536,pipeline.run_model initial_seed_balancing start,0,2023/12/28 16:47:24.056341
mp_seed_balancing,20468,165_421_056,165_421_056,136_835_072,pipeline.run_model initial_seed_balancing finished,0,2023/12/28 16:49:48.700158
mp_seed_balancing,20468,167_608_320,167_608_320,138_063_872,pipeline.run_model meta_control_factoring start,0,2023/12/28 16:49:48.742134
mp_seed_balancing,20468,163_704_832,163_704_832,135_090_176,pipeline.run_model meta_control_factoring finished,0,2023/12/28 16:49:48.827087
mp_seed_balancing,20468,164_728_832,164_728_832,135_249_920,pipeline.run_model final_seed_balancing start,0,2023/12/28 16:49:48.868064
mp_seed_balancing,20468,172_150_784,172_150_784,142_532_608,pipeline.run_model final_seed_balancing finished,0,2023/12/28 16:53:20.256295
mp_seed_balancing,20468,168_001_536,168_001_536,139_333_632,pipeline.run_model integerize_final_seed_weights start,0,2023/12/28 16:53:20.301271
mp_seed_balancing,20468,171_003_904,171_003_904,139_718_656,pipeline.run_model integerize_final_seed_weights finished,0,2023/12/28 16:53:28.814807
