HHID,PUMA,NP,HHADJINC,WGTP,HHT
1,7305,4,65659.425,117,1.0
2,7311,4,304962.7755,94,1.0
3,7308,3,66265.512,85,3.0
4,7310,1,39395.655,59,4.0
5,7313,3,75760.875,116,1.0
6,7301,2,41314.9305,136,3.0
7,7312,2,77377.107,64,1.0
8,7318,2,50305.221,30,2.0
9,7309,2,304558.7175,96,1.0
10,7310,5,157582.62,152,1.0
11,7307,1,4848.696,64,4.0
12,7318,4,134349.285,56,2.0
13,7321,1,136369.575,75,4.0
14,7316,4,27273.915,124,1.0
15,7301,4,159602.91,62,1.0
16,7313,1,10808.5515,117,6.0
17,7306,1,16162.32,76,4.0
18,7313,3,76366.962,89,1.0
19,7313,3,95963.775,162,1.0
20,7310,2,169704.36,106,1.0
21,7321,2,35759.133,56,3.0
22,7314,2,151521.75,58,1.0
23,7313,1,22223.19,472,4.0
24,7316,1,46062.612,46,4.0
25,7321,3,18182.61,102,1.0
26,7302,2,5252.754,50,1.0
27,7308,5,152834.9385,51,1.0
28,7301,4,8081.16,91,3.0
29,7317,1,36031.87215,93,4.0
30,7305,2,33536.814,110,1.0
31,7312,1,57780.294,123,4.0
32,7310,3,130763.27025,27,1.0
33,7314,4,171320.592,73,7.0
34,7319,4,114853.4865,46,1.0
35,7313,6,101014.5,37,1.0
36,7322,1,40405.8,88,4.0
37,7318,1,40304.7855,56,6.0
38,7306,9,74750.73,83,1.0
39,7314,4,4848.696,62,1.0
40,7314,2,22223.19,138,2.0
41,7320,2,-1111.1595,52,1.0
42,7310,1,65962.4685,112,6.0
43,7313,2,50002.1775,28,1.0
44,7310,2,118186.965,104,1.0
45,7319,3,282163.80285,52,1.0
46,7301,1,21213.045,315,6.0
47,7313,1,19798.842,58,6.0
48,7313,5,223747.1175,53,1.0
49,7309,4,159602.91,64,1.0
50,7318,2,59901.5985,138,1.0
51,7304,2,55861.0185,106,3.0
52,7314,2,152996.5617,77,1.0
53,7317,4,67679.715,76,1.0
54,7322,1,36062.1765,48,4.0
55,7312,4,32930.727,446,1.0
56,7302,1,65659.425,80,4.0
57,7314,1,106873.341,55,6.0
58,7305,1,18182.61,143,4.0
59,7301,1,25152.6105,163,6.0
60,7306,2,222231.9,38,1.0
61,7314,1,136369.575,85,4.0
62,7320,2,98994.21,41,3.0
63,7303,2,85862.325,46,1.0
64,7311,3,239404.365,72,1.0
65,7313,2,60608.7,119,3.0
66,7302,1,60608.7,182,4.0
67,7321,3,55557.975,183,2.0
68,7303,1,23758.6104,52,6.0
69,7307,2,82023.774,58,1.0
70,7304,2,115560.588,87,1.0
71,7301,5,196978.275,158,1.0
72,7316,2,43436.235,376,7.0
73,7314,6,419210.175,110,1.0
74,7316,2,157582.62,90,1.0
75,7314,2,54042.7575,66,1.0
76,7319,1,11616.6675,70,4.0
77,7319,2,28183.0455,201,1.0
78,7309,4,74952.759,60,1.0
79,7310,2,820662.0009,61,1.0
80,7317,2,80205.513,107,1.0
81,7311,3,265668.135,135,1.0
82,7316,2,645987.7275,69,1.0
83,7309,1,101014.5,303,6.0
84,7308,5,82831.89,67,1.0
85,7306,5,61093.5696,365,1.0
86,7308,2,237384.075,45,1.0
87,7307,1,59699.5695,61,4.0
88,7317,4,95458.7025,76,3.0
89,7322,2,37375.365,126,1.0
90,7310,1,40405.8,88,4.0
91,7314,6,116974.791,56,1.0
92,7315,2,110408.8485,57,1.0
93,7317,1,14142.03,179,6.0
94,7316,1,80811.6,118,6.0
95,7310,4,125055.951,50,1.0
96,7317,1,149400.4455,72,4.0
97,7315,4,177785.52,61,1.0
98,7309,1,206069.58,55,4.0
99,7306,4,68689.86,46,1.0
100,7317,1,62527.9755,59,4.0
101,7316,2,43436.235,117,1.0
102,7309,1,53073.0183,47,6.0
103,7315,3,105863.196,252,1.0
104,7309,4,107075.37,49,1.0
105,7303,3,169098.273,69,1.0
106,7301,2,24243.48,74,2.0
107,7302,3,172936.824,72,1.0
108,7308,1,250616.9745,105,4.0
109,7316,1,89296.818,54,6.0
110,7304,2,84246.093,187,1.0
111,7322,7,141046.54635,63,1.0
112,7304,2,153542.04,131,7.0
113,7309,3,104044.935,281,1.0
114,7320,7,149501.46,168,1.0
115,7307,1,45355.5105,59,4.0
116,7315,2,10303.479,84,1.0
117,7301,1,55557.975,113,6.0
118,7321,5,55760.004,296,1.0
119,7313,1,21617.103,64,4.0
120,7309,2,113540.298,131,7.0
121,7310,4,303043.5,54,1.0
122,7319,2,94953.63,53,1.0
123,7314,3,41617.974,353,2.0
124,7306,2,78791.31,62,1.0
125,7310,1,1212.174,240,6.0
126,7314,3,264253.932,67,1.0
127,7313,1,131116.821,144,6.0
128,7306,3,178088.5635,102,3.0
129,7321,3,135561.459,61,1.0
130,7302,5,207079.725,15,3.0
131,7314,5,116166.675,61,1.0
132,7322,4,46668.699,62,1.0
133,7314,2,209100.015,52,1.0
134,7316,1,0.0,195,6.0
135,7310,4,227282.625,39,1.0
136,7309,4,234353.64,53,1.0
137,7309,3,86367.3975,78,3.0
138,7304,2,193947.84,154,1.0
139,7317,1,4444.638,61,4.0
140,7301,3,86367.3975,115,1.0
141,7310,2,104246.964,112,5.0
142,7311,5,220211.61,90,1.0
143,7311,5,411533.073,31,1.0
144,7305,2,42224.061,58,1.0
145,7303,2,151319.721,69,1.0
146,7319,7,40759.35075,94,1.0
147,7303,5,85862.325,106,1.0
148,7306,5,64810.9032,40,1.0
149,7315,1,55557.975,63,4.0
150,7313,2,18283.6245,52,3.0
151,7319,5,235565.814,70,1.0
152,7316,1,50507.25,42,4.0
153,7312,1,70710.15,51,6.0
154,7310,4,270718.86,104,2.0
155,7309,1,57376.236,63,6.0
156,7319,3,172734.795,91,2.0
157,7310,2,101317.5435,84,1.0
158,7302,1,47274.786,16,4.0
159,7316,1,101014.5,127,6.0
160,7310,4,62628.99,240,1.0
161,7317,1,34344.93,80,4.0
