HHID,SPORDER,PUMA,AGEP,SCHG,COW,SEX,ESR,MIL,WKHP,RAC1P,HISP,isWorker,pop_race,NAICS2,WKW,OCCP,SCHL,isinlaborforce,SOCP,SOC2
1,1,7306,18,14,,2,6.0,4.0,,1,2,0,Hispanic,0,,,14.0,0,0,0
2,1,7319,25,0,,1,6.0,4.0,,1,2,0,Hispanic,0,,,1.0,0,0,0
3,1,7310,19,15,1.0,2,6.0,4.0,20.0,2,24,0,Hispanic,722,6.0,4030.0,18.0,0,352021,35
4,1,7301,19,0,5.0,1,4.0,1.0,55.0,1,1,1,White,MIL,1.0,9825.0,16.0,0,553010,55
5,1,7313,33,0,,2,6.0,4.0,,8,2,0,Hispanic,0,,,16.0,0,0,0
6,1,7304,27,0,1.0,2,6.0,4.0,,1,1,0,White,722,,4110.0,18.0,0,353031,35
7,1,7322,35,15,1.0,2,6.0,2.0,20.0,1,2,0,Hispanic,56,3.0,735.0,19.0,0,131161,13
8,1,7301,22,0,5.0,1,4.0,1.0,99.0,9,1,1,Two or More,MIL,6.0,9825.0,16.0,0,553010,55
9,1,7317,19,15,1.0,1,6.0,4.0,25.0,1,1,0,White,45,6.0,9645.0,18.0,0,537065,53
10,1,7322,40,0,,1,6.0,4.0,,2,1,0,Black,0,,,16.0,0,0,0
11,1,7321,15,13,,2,,,,6,1,0,Asian,0,,,13.0,0,0,0
12,1,7322,55,0,,1,6.0,4.0,,1,1,0,White,0,,,17.0,0,0,0
13,1,7301,23,0,5.0,1,4.0,1.0,50.0,1,1,1,White,MIL,1.0,9830.0,16.0,0,559830,55
14,1,7310,23,15,5.0,1,4.0,1.0,80.0,1,1,1,White,MIL,1.0,1108.0,19.0,0,151299,15
15,1,7316,49,0,,1,6.0,4.0,,1,1,0,White,0,,,16.0,0,0,0
16,1,7301,20,0,5.0,1,4.0,1.0,45.0,1,1,1,White,MIL,1.0,3645.0,19.0,0,319092,31
17,1,7314,27,0,,1,6.0,4.0,,2,1,0,Black,0,,,16.0,0,0,0
18,1,7310,23,0,1.0,2,1.0,4.0,32.0,2,1,1,Black,62,1.0,4230.0,19.0,1,372012,37
19,1,7317,37,0,1.0,1,1.0,4.0,40.0,2,1,1,Black,56,1.0,4251.0,16.0,1,373011,37
20,1,7306,64,0,,1,6.0,4.0,,1,1,0,White,0,,,16.0,0,0,0
21,1,7317,18,15,1.0,1,6.0,4.0,25.0,1,1,0,White,45,6.0,9645.0,18.0,0,537065,53
22,1,7304,20,0,,1,6.0,4.0,,1,1,0,White,0,,,16.0,0,0,0
23,1,7302,51,0,1.0,1,6.0,2.0,,1,1,0,White,62,,3255.0,22.0,0,291141,29
24,1,7308,47,0,,2,6.0,4.0,,1,2,0,Hispanic,0,,,18.0,0,0,0
25,1,7301,24,0,5.0,1,4.0,1.0,50.0,1,11,1,Hispanic,MIL,1.0,9830.0,19.0,0,559830,55
26,1,7317,20,15,,1,6.0,4.0,,1,1,0,White,0,,,19.0,0,0,0
27,1,7310,21,15,2.0,2,1.0,4.0,20.0,1,1,1,White,61,6.0,1970.0,19.0,1,1940YY,19
28,1,7317,18,15,1.0,1,6.0,4.0,25.0,1,1,0,White,45,6.0,9645.0,18.0,0,537065,53
29,1,7301,20,0,5.0,1,4.0,1.0,50.0,2,1,1,Black,MIL,1.0,7210.0,16.0,0,493031,49
30,1,7302,16,12,,1,6.0,,,1,2,0,Hispanic,0,,,12.0,0,0,0
31,1,7303,13,10,,1,,,,1,2,0,Hispanic,0,,,10.0,0,0,0
32,1,7301,22,0,5.0,1,4.0,1.0,45.0,1,1,1,White,MIL,1.0,9825.0,16.0,0,553010,55
33,1,7302,17,13,,1,6.0,4.0,,1,2,0,Hispanic,0,,,13.0,0,0,0
34,1,7312,22,0,5.0,1,4.0,1.0,55.0,1,19,1,Hispanic,MIL,1.0,9830.0,16.0,0,559830,55
35,1,7322,71,0,,1,6.0,4.0,,2,1,0,Black,0,,,19.0,0,0,0
36,1,7317,85,0,,2,6.0,4.0,,1,24,0,Hispanic,0,,,1.0,0,0,0
37,1,7316,46,0,,1,6.0,4.0,,1,2,0,Hispanic,0,,,17.0,0,0,0
38,1,7320,49,0,,2,6.0,4.0,,6,1,0,Asian,0,,,1.0,0,0,0
39,1,7302,45,0,,2,6.0,4.0,,6,1,0,Asian,0,,,19.0,0,0,0
40,1,7313,46,0,1.0,2,6.0,4.0,20.0,1,2,0,Hispanic,54,5.0,4900.0,20.0,0,419010,41
41,1,7306,63,0,,1,6.0,4.0,,2,1,0,Black,0,,,19.0,0,0,0
42,1,7310,20,15,1.0,1,6.0,4.0,40.0,6,1,0,Asian,45,6.0,4760.0,19.0,0,412031,41
43,1,7310,19,15,,2,6.0,4.0,,1,2,0,Hispanic,0,,,19.0,0,0,0
44,1,7321,24,15,1.0,2,6.0,4.0,20.0,9,1,0,Two or More,44,6.0,9620.0,19.0,0,537062,53
45,1,7307,57,0,,1,6.0,4.0,,8,24,0,Hispanic,0,,,13.0,0,0,0
46,1,7307,61,0,,1,6.0,2.0,,2,1,0,Black,0,,,16.0,0,0,0
47,1,7304,65,0,,2,6.0,4.0,,9,1,0,Two or More,0,,,23.0,0,0,0
48,1,7319,43,0,,1,6.0,4.0,,2,1,0,Black,0,,,17.0,0,0,0
49,1,7315,17,15,8.0,2,6.0,4.0,25.0,9,1,0,Two or More,54,6.0,710.0,16.0,0,131111,13
