SERIALNO,HHID,SPORDER,PUMA,AGEP,SCHG,COW,SEX,ESR,MIL,WKHP,isinlaborforce
2017000000336,1,1,7307,33,0,1.0,1,1.0,4.0,50.0,1
2017000000336,1,2,7307,30,0,2.0,2,1.0,4.0,40.0,1
2017000000634,2,1,7301,63,15,2.0,2,1.0,4.0,32.0,1
2017000000634,2,2,7301,69,15,1.0,1,1.0,4.0,40.0,1
2017000000634,2,3,7301,27,0,1.0,1,1.0,4.0,40.0,1
2017000000674,3,1,7311,33,0,1.0,1,1.0,4.0,80.0,1
2017000000674,3,2,7311,33,0,,2,6.0,4.0,,0
2017000000674,3,3,7311,1,0,,2,,,,0
2017000000716,4,1,7318,84,0,,1,6.0,2.0,,0
2017000000716,4,2,7318,90,0,,1,6.0,2.0,,0
2017000000754,5,1,7302,23,0,1.0,1,1.0,4.0,40.0,1
2017000000754,5,2,7302,20,0,1.0,2,1.0,4.0,40.0,1
2017000000998,6,1,7313,48,0,1.0,1,1.0,4.0,50.0,1
2017000000998,6,2,7313,48,0,4.0,2,1.0,4.0,45.0,1
2017000000998,6,3,7313,23,0,1.0,1,1.0,4.0,40.0,1
2017000000998,6,4,7313,21,15,1.0,2,1.0,4.0,30.0,1
2017000001055,7,1,7314,67,0,1.0,1,3.0,4.0,40.0,1
2017000001143,8,1,7301,53,0,1.0,2,1.0,4.0,40.0,1
2017000001195,9,1,7318,70,0,,2,6.0,4.0,,0
2017000001229,10,1,7310,54,0,6.0,1,1.0,4.0,30.0,1
2017000001280,11,1,7317,63,0,1.0,1,1.0,4.0,30.0,1
2017000001318,12,1,7322,29,0,1.0,1,1.0,4.0,40.0,1
2017000001318,12,2,7322,25,15,1.0,2,1.0,4.0,40.0,1
2017000001512,13,1,7311,34,0,4.0,1,1.0,4.0,40.0,1
2017000001512,13,2,7311,31,0,6.0,2,6.0,4.0,,0
2017000001512,13,3,7311,9,6,,2,,,,0
2017000001512,13,4,7311,5,1,,2,,,,0
2017000001512,13,5,7311,3,1,,2,,,,0
2017000001548,14,1,7309,34,0,1.0,2,1.0,4.0,24.0,1
2017000001548,14,2,7309,34,0,7.0,1,1.0,4.0,55.0,1
2017000001548,14,3,7309,3,1,,2,,,,0
2017000001570,15,1,7306,45,0,1.0,1,1.0,4.0,50.0,1
2017000001570,15,2,7306,46,0,1.0,2,1.0,4.0,25.0,1
2017000001570,15,3,7306,14,10,,1,,,,0
2017000001570,15,4,7306,11,8,,2,,,,0
2017000001726,16,1,7317,54,0,1.0,2,1.0,4.0,50.0,1
2017000001726,16,2,7317,51,0,1.0,2,1.0,4.0,30.0,1
2017000001973,17,1,7310,76,0,,1,6.0,4.0,,0
2017000001973,17,2,7310,76,0,,2,6.0,4.0,,0
2017000001973,17,3,7310,16,14,1.0,2,6.0,,4.0,0
2017000001973,17,4,7310,13,10,,2,,,,0
2017000002050,18,1,7321,54,0,3.0,2,1.0,4.0,40.0,1
2017000002099,19,1,7301,71,0,,1,6.0,4.0,,0
2017000002238,20,1,7312,81,0,,2,6.0,2.0,,0
2017000002303,21,1,7306,84,0,,2,6.0,4.0,,0
2017000002500,22,1,7313,36,0,1.0,1,1.0,3.0,40.0,1
2017000002500,22,2,7313,41,0,1.0,2,1.0,2.0,46.0,1
2017000002500,22,3,7313,5,2,,1,,,,0
2017000002679,23,1,7308,40,0,6.0,2,1.0,4.0,40.0,1
2017000002679,23,2,7308,41,0,1.0,1,1.0,4.0,40.0,1
2017000002679,23,3,7308,22,15,1.0,2,1.0,4.0,37.0,1
2017000002679,23,4,7308,10,7,,1,,,,0
2017000002896,24,1,7307,46,0,1.0,1,1.0,2.0,60.0,1
2017000002896,24,2,7307,37,0,1.0,2,6.0,4.0,,0
2017000003025,25,1,7309,38,0,2.0,1,1.0,4.0,40.0,1
2017000003025,25,2,7309,30,15,1.0,2,1.0,2.0,40.0,1
2017000003033,26,1,7317,57,0,,1,6.0,4.0,,0
2017000003051,27,1,7302,63,0,6.0,2,1.0,4.0,30.0,1
2017000003313,28,1,7304,30,0,3.0,1,1.0,4.0,40.0,1
2017000003313,28,2,7304,37,16,2.0,2,6.0,4.0,20.0,0
2017000003319,29,1,7320,69,0,1.0,1,1.0,4.0,18.0,1
2017000003319,29,2,7320,64,0,1.0,2,1.0,4.0,40.0,1
2017000003319,29,3,7320,12,9,,2,,,,0
2017000003319,29,4,7320,10,7,,1,,,,0
2017000003320,30,1,7322,53,15,1.0,1,3.0,4.0,99.0,1
2017000003320,30,2,7322,51,0,1.0,2,1.0,4.0,33.0,1
2017000003320,30,3,7322,24,16,1.0,2,1.0,4.0,25.0,1
2017000003320,30,4,7322,19,15,1.0,1,1.0,4.0,30.0,1
2017000003951,31,1,7312,47,0,1.0,2,1.0,4.0,50.0,1
2017000003951,31,2,7312,34,0,1.0,1,1.0,2.0,40.0,1
2017000003951,31,3,7312,27,0,1.0,1,1.0,4.0,30.0,1
2017000004033,32,1,7311,51,0,7.0,2,1.0,4.0,40.0,1
2017000004033,32,2,7311,54,0,1.0,1,1.0,4.0,40.0,1
2017000004033,32,3,7311,17,0,2.0,2,6.0,4.0,4.0,0
2017000004537,33,1,7313,72,0,5.0,1,6.0,4.0,,0
2017000004537,33,2,7313,68,0,1.0,2,6.0,4.0,,0
2017000004667,34,1,7318,49,0,6.0,1,1.0,4.0,40.0,1
2017000004667,34,2,7318,48,0,3.0,2,1.0,4.0,40.0,1
2017000004667,34,3,7318,26,0,6.0,1,1.0,4.0,40.0,1
2017000004667,34,4,7318,23,0,1.0,1,1.0,4.0,40.0,1
2017000005031,35,1,7308,35,0,5.0,1,1.0,4.0,40.0,1
2017000005031,35,2,7308,45,0,1.0,2,1.0,2.0,60.0,1
2017000005031,35,3,7308,2,0,,2,,,,0
2017000005031,35,4,7308,1,0,,1,,,,0
2017000005084,36,1,7309,81,0,,1,6.0,2.0,,0
2017000005084,36,2,7309,79,16,,2,6.0,4.0,,0
2017000005148,37,1,7305,60,0,1.0,1,1.0,4.0,40.0,1
2017000005148,37,2,7305,57,0,4.0,2,1.0,4.0,40.0,1
2017000005152,38,1,7320,47,0,6.0,2,1.0,4.0,40.0,1
2017000005152,38,2,7320,21,15,1.0,1,1.0,4.0,15.0,1
2017000005152,38,3,7320,18,14,1.0,1,3.0,4.0,40.0,1
2017000005152,38,4,7320,77,0,,1,6.0,4.0,,0
2017000005152,38,5,7320,70,0,1.0,2,6.0,4.0,32.0,0
2017000005152,38,6,7320,56,0,1.0,1,1.0,4.0,70.0,1
2017000005750,39,1,7315,30,0,1.0,2,1.0,4.0,40.0,1
2017000005750,39,2,7315,41,0,5.0,1,1.0,4.0,48.0,1
2017000005750,39,3,7315,0,0,,1,,,,0
2017000005750,39,4,7315,29,16,,2,6.0,4.0,,0
2017000005852,40,1,7310,56,0,1.0,1,1.0,4.0,40.0,1
2017000005852,40,2,7310,53,0,1.0,2,1.0,4.0,30.0,1
2017000006055,41,1,7308,64,0,1.0,2,1.0,4.0,20.0,1
2017000006055,41,2,7308,38,0,9.0,1,3.0,4.0,,1
2017000006229,42,1,7305,68,0,,2,6.0,4.0,,0
2017000006229,42,2,7305,80,0,,1,6.0,4.0,,0
2017000006229,42,3,7305,39,0,1.0,1,1.0,4.0,40.0,1
2017000006277,43,1,7321,45,0,5.0,1,4.0,1.0,55.0,0
2017000006277,43,2,7321,50,15,,2,6.0,4.0,,0
2017000006277,43,3,7321,12,9,,2,,,,0
2017000006309,44,1,7301,28,0,1.0,2,1.0,4.0,42.0,1
2017000006309,44,2,7301,34,0,1.0,1,1.0,4.0,40.0,1
2017000006309,44,3,7301,5,2,,1,,,,0
2017000006309,44,4,7301,3,0,,2,,,,0
2017000006395,45,1,7315,66,0,1.0,1,1.0,4.0,30.0,1
2017000006395,45,2,7315,56,0,1.0,1,1.0,4.0,40.0,1
2017000006593,46,1,7310,40,0,5.0,2,1.0,4.0,40.0,1
2017000006828,47,1,7301,27,15,5.0,2,1.0,2.0,60.0,1
2017000006902,48,1,7317,49,0,3.0,1,1.0,4.0,40.0,1
2017000006902,48,2,7317,47,0,4.0,2,1.0,4.0,24.0,1
2017000006902,48,3,7317,59,0,,2,6.0,4.0,,0
2017000006902,48,4,7317,40,0,,1,6.0,4.0,,0
2017000006902,48,5,7317,29,0,,1,6.0,4.0,,0
2017000006902,48,6,7317,27,0,,2,6.0,4.0,,0
2017000006918,49,1,7322,38,0,1.0,1,1.0,4.0,40.0,1
2017000006918,49,2,7322,36,0,1.0,2,1.0,4.0,15.0,1
2017000006918,49,3,7322,12,9,,2,,,,0
2017000006918,49,4,7322,9,5,,1,,,,0
2017000006945,50,1,7303,59,0,1.0,1,1.0,4.0,56.0,1
2017000006945,50,2,7303,58,0,4.0,2,1.0,4.0,16.0,1
2017000006945,50,3,7303,32,0,,1,6.0,4.0,,0
2017000006945,50,4,7303,28,15,8.0,2,1.0,4.0,40.0,1
2017000006945,50,5,7303,27,0,1.0,2,1.0,4.0,30.0,1
2017000006945,50,6,7303,1,0,,2,,,,0
2017000007518,51,1,7307,76,0,,1,6.0,3.0,,0
2017000007518,51,2,7307,61,0,3.0,2,1.0,4.0,40.0,1
2017000007550,52,1,7304,61,0,,1,6.0,4.0,,0
2017000007586,53,1,7314,29,15,1.0,2,1.0,4.0,40.0,1
2017000007586,53,2,7314,10,7,,2,,,,0
2017000007586,53,3,7314,8,5,,2,,,,0
